Year,TotalEmissions,LANDAVERAGETEMPERATURE,LANDMAXTEMPERATURE,LANDMINTEMPERATURE,LANDANDOCEANAVERAGETEMPERATURE
1852,984.088112,8.100166666666667,17.795,-2.7550000000000003,15.0065
1853,1025.619552,8.041833333333333,19.308,-4.015,14.955166666666669
1854,1209.251904,8.2105,20.426,-4.109,14.991
1855,1224.313064,8.11075,19.012,-4.947,15.021083333333335
1856,1306.205008,7.995916666666666,18.386,-3.727,14.879333333333332
1857,1317.120064,7.758166666666667,18.717,-5.407,14.75825
1858,1336.444612,8.10025,18.968,-4.1480000000000015,14.8815
1859,1414.265979,8.252,19.444000000000003,-3.422,14.929916666666664
1860,1556.020613,7.960833333333333,19.163,-3.232,14.882916666666668
1861,1644.732431,7.8465,19.37,-3.256,14.800666666666666
1862,1672.914269,7.558583333333334,20.663,-4.346,14.740083333333333
1863,1776.84959,8.111833333333333,18.408,-2.5860000000000003,14.93575
1864,1915.488899,7.983583333333333,18.909,-3.848,14.8965
1865,2040.633899,8.177833333333334,19.111,-3.2119999999999997,14.996666666666668
1866,2106.900672,8.292166666666667,20.369,-2.9530000000000003,15.057
1867,2239.315766,8.436333333333334,20.032,-3.678,15.058666666666667
1868,2286.112951,8.247916666666667,20.504,-3.478,15.096916666666669
1869,2415.537059,8.432083333333333,19.825,-3.173,15.0655
1870,2462.33013,8.201333333333332,20.29,-3.5269999999999997,15.004333333333332
1871,2620.593345,8.115083333333333,19.837,-3.677,15.005916666666666
1872,2874.999453,8.193833333333332,19.705,-3.418,15.019333333333334
1873,3043.792206,8.351083333333333,19.974,-3.719,15.04925
1874,2841.338434,8.4335,19.82,-3.764,14.957
1875,3101.246854,7.859583333333333,20.534,-4.7170000000000005,14.921916666666666
1876,3155.571851,8.080083333333333,19.855,-3.325,14.909416666666669
1877,3194.071408,8.539583333333333,20.733,-3.1620000000000004,15.282666666666666
1878,3222.261228,8.829749999999999,20.308,-3.083,15.357416666666666
1879,3409.9138030000004,8.165833333333333,19.637,-3.531,15.064416666666666
1880,3852.093791,8.11875,20.037,-3.767,15.008666666666668
1881,3972.823122,8.270916666666666,20.295,-3.687,15.087166666666668
1882,4167.418955,8.128916666666667,19.832,-3.0669999999999997,15.056583333333334
1883,4423.1779400000005,7.976916666666667,20.457,-4.519,14.96325
1884,4448.822836,7.773666666666666,19.569000000000003,-4.118,14.83325
1885,4476.600641,7.919666666666667,20.205,-4.621,14.854416666666664
1886,4523.482066,7.9545,20.004,-3.884,14.83525
1887,4734.407562,7.914916666666667,19.899,-4.678000000000001,14.816
1888,5173.386399,8.0905,20.063,-4.2989999999999995,14.994083333333334
1889,5245.504916,8.319,20.315,-4.053000000000001,15.113416666666666
1890,5643.516954,7.971666666666667,19.718,-4.24,14.84075
1891,5889.457787,8.019333333333334,19.849,-4.465,14.943833333333332
1892,5896.274089,8.065833333333332,19.82,-3.93,14.8825
1893,5800.918938,8.05675,20.005,-5.3450000000000015,14.91225
1894,6090.15575,8.161,19.851,-4.0390000000000015,14.91475
1895,6394.2535689999995,8.147,19.614,-4.319,14.969
1896,6628.969821000001,8.214916666666667,19.886,-3.4080000000000004,15.090583333333331
1897,6947.8195319999995,8.293333333333333,20.297,-3.5730000000000004,15.075333333333331
1898,7284.788703,8.177999999999999,20.145,-3.651,14.886916666666666
1899,7900.05389,8.396333333333333,20.168,-3.4419999999999997,15.048333333333334
1900,8325.810085,8.501583333333334,19.897,-4.102,15.143916666666668
1901,8507.803476,8.541916666666667,20.34,-3.491,15.073333333333332
1902,8666.733594,8.304416666666667,20.2,-3.031,14.958333333333334
1903,9335.714639,8.220166666666666,19.787,-3.1870000000000003,14.836583333333332
1904,9465.04601,8.090916666666667,19.678,-3.86,14.810416666666669
1905,9987.748478,8.225166666666667,19.877,-3.951,14.954666666666666
1906,10447.272459,8.379083333333332,20.058,-3.637000000000001,15.031916666666667
1907,11753.666065,7.947166666666667,19.626,-3.867,14.874833333333331
1908,11481.591123,8.186083333333332,19.748,-3.548,14.838166666666666
1909,11819.292271,8.17825,19.787,-4.298,14.790333333333336
1910,12291.569664,8.223,19.952,-3.2700000000000005,14.819083333333332
1911,12546.897295,8.177,19.987,-3.969,14.776000000000002
1912,13115.237331,8.165416666666667,19.729,-3.305,14.877166666666668
1913,14202.115119,8.297749999999999,20.256,-3.657,14.90875
1914,12832.834487,8.5905,20.065,-2.551,15.07625
1915,12530.429487,8.593166666666667,20.553,-3.4160000000000004,15.14375
1916,13438.314622,8.22525,20.012,-3.4019999999999997,14.901333333333334
1917,13874.044858,8.023333333333333,20.083,-3.782,14.80975
1918,13452.109491,8.130833333333333,19.916,-3.802000000000001,14.959833333333334
1919,11647.695371,8.38225,20.146,-3.3960000000000004,15.006750000000002
1920,13548.025477,8.358749999999999,20.121,-3.109,15.02625
1921,12022.897065,8.571,20.42,-2.8160000000000003,15.102083333333336
1922,12758.567433,8.408,20.098,-3.684,15.012333333333332
1923,13964.108909,8.422166666666667,19.81,-3.1950000000000003,15.027833333333334
1924,14402.65622,8.506833333333335,20.057,-3.502,15.039333333333332
1925,14446.619014,8.534416666666667,19.971,-3.3139999999999996,15.090333333333334
1926,13809.129101,8.728833333333332,19.998,-2.307,15.241083333333334
1927,15549.199964,8.522083333333333,20.237,-3.5120000000000005,15.12225
1928,15512.202573,8.632166666666667,20.005,-2.631,15.13225
1929,16687.245466,8.242416666666667,19.652,-3.883,14.967416666666669
1930,15481.004005,8.633583333333332,20.252,-3.1689999999999996,15.1725
1931,13972.381053,8.71925,20.399,-3.123,15.22825
1932,12708.41726,8.70525,20.093,-3.2300000000000004,15.188
1933,13320.080093,8.33825,20.037,-3.4530000000000003,15.012916666666667
1934,14521.547376,8.628333333333334,20.14,-3.131,15.1445
1935,15242.320472,8.51575,20.173,-3.618,15.118833333333331
1936,16617.188086000002,8.554,20.443,-3.53,15.166166666666667
1937,17834.246625,8.698333333333332,20.154,-3.216,15.3005
1938,17069.43741,8.863666666666667,20.249,-2.5970000000000004,15.293083333333334
1939,17913.994429,8.760333333333334,20.26,-2.7710000000000004,15.302333333333332
1940,19464.694328,8.764666666666667,20.408,-3.35,15.372083333333334
1941,19611.236067,8.768666666666666,20.578000000000003,-3.01,15.384666666666668
1942,19223.991062,8.728416666666666,20.107,-2.883,15.325333333333331
1943,19510.061021,8.755083333333333,20.394,-3.2830000000000004,15.345
1944,19537.381569,8.845,20.493,-2.123,15.449083333333334
1945,15566.546235999998,8.584833333333334,20.189,-3.0439999999999996,15.33075
1946,17597.725288,8.676916666666667,20.265,-2.5469999999999997,15.262750000000002
1947,19654.90935,8.797083333333333,20.126,-2.992,15.310166666666667
1948,20786.980405,8.74675,20.334,-2.613,15.261166666666666
1949,20731.145996,8.58675,20.128,-3.003,15.22275
1950,23144.262037,8.365250000000001,19.882,-3.622,15.1395
1951,24701.160881,8.625666666666667,20.225,-3.661,15.311166666666669
1952,25150.896831,8.638250000000001,20.416,-2.5789999999999997,15.363083333333334
1953,25873.041385,8.87375,20.254,-2.6289999999999996,15.421083333333334
1954,26671.136366,8.560666666666666,20.015,-3.5810000000000004,15.230583333333334
1955,29192.519356,8.62625,19.959,-2.71,15.174333333333337
1956,31105.583632,8.279583333333333,19.952,-3.131,15.106000000000002
1957,32223.1189,8.7325,19.828,-2.97,15.374083333333331
1958,33049.117832,8.77375,20.121,-1.949,15.382083333333334
1959,34551.082274,8.732666666666667,20.236,-2.406,15.3405
1960,36527.071805,8.58375,19.884,-2.623,15.291916666666667
1961,36912.397265,8.797666666666666,20.014,-2.383,15.379916666666666
1962,38416.669552,8.745916666666666,20.054,-2.5090000000000003,15.325583333333334
1963,40730.666028,8.856,20.229,-2.6790000000000003,15.376666666666669
1964,42849.457175,8.409666666666666,20.065,-2.613,15.117083333333332
1965,44752.045443,8.527416666666666,19.869,-2.822,15.195750000000002
1966,46706.27877,8.599333333333332,20.392,-3.0410000000000004,15.264666666666663
1967,48190.69398,8.700083333333334,20.142,-2.869,15.294166666666667
1968,50820.953803,8.516333333333334,19.734,-3.0620000000000003,15.263916666666669
1969,54145.385261,8.595083333333333,20.024,-3.298,15.3905
1970,58359.901323,8.700916666666666,20.254,-2.5839999999999996,15.332666666666666
1971,60744.925482,8.59925,19.984,-2.7230000000000003,15.2
1972,63450.823636,8.499583333333334,20.037,-3.5490000000000004,15.292916666666668
1973,66810.297002,8.94825,20.112,-2.3080000000000003,15.40475
1974,66714.857319,8.4675,19.925,-2.926,15.168083333333334
1975,66757.683419,8.744833333333334,20.051,-2.2569999999999997,15.238666666666669
1976,70421.126691,8.34725,19.852,-2.452,15.131083333333336
1977,72126.745496,8.85025,20.327,-2.648,15.40825
1978,74665.790947,8.69275,19.911,-2.52,15.300916666666666
1979,76753.461274,8.733416666666667,19.945,-2.7590000000000003,15.414166666666668
1980,76520.754527,8.980333333333332,20.466,-2.4570000000000003,15.491833333333332
1981,74378.187905,9.165833333333332,20.398,-1.41,15.516166666666669
1982,73889.80795100001,8.639166666666666,20.311,-2.7769999999999997,15.341916666666668
1983,74492.606202,9.028166666666666,20.139,-1.65,15.52025
1984,76351.273988,8.691833333333333,20.109,-2.452,15.344166666666666
1985,79177.877733,8.658,19.757,-2.853,15.340666666666666
1986,80133.496843,8.833583333333333,19.987,-2.011,15.384
1987,82113.911091,8.994416666666666,20.667,-2.3440000000000003,15.524500000000002
1988,84874.61172,9.201583333333334,20.466,-2.031,15.555750000000002
1989,85979.297689,8.921999999999999,20.361,-2.5980000000000003,15.441583333333334
1990,88010.113669,9.234166666666669,20.401,-1.9390000000000005,15.629333333333332
1991,88534.588762,9.179416666666668,20.643,-1.9070000000000005,15.598
1992,85683.43290700001,8.836583333333333,19.853,-1.6550000000000002,15.453
1993,85945.148629,8.866583333333333,20.228,-1.9190000000000005,15.466416666666667
1994,85845.10976,9.03875,20.421,-2.768,15.534999999999998
1995,87252.947894,9.347083333333334,20.803,-1.769,15.637833333333331
1996,89621.705376,9.038916666666667,20.65,-2.512,15.524666666666668
1997,89708.389951,9.202583333333331,20.26,-2.1340000000000003,15.713833333333334
1998,89286.500106,9.522666666666668,20.972,-1.7760000000000002,15.826
1999,90256.263511,9.285083333333334,20.578000000000003,-1.7320000000000002,15.600333333333332
2000,92645.114758,9.201166666666667,20.665,-2.322,15.610666666666669
2001,93621.941911,9.414583333333333,20.923,-2.0780000000000003,15.7675
2002,95421.778815,9.570416666666668,21.199,-1.3219999999999998,15.829166666666667
2003,99717.475542,9.525583333333334,20.757,-1.481,15.826583333333334
2004,103831.361328,9.324583333333331,20.087,-1.65,15.75725
2005,106717.69594,9.700916666666666,20.88,-1.5340000000000005,15.87925
2006,109913.343437,9.5325,20.905,-1.942,15.8135
2007,112697.704389,9.732166666666666,21.108,-1.503,15.827333333333334
2008,114658.894877,9.43175,21.006,-2.383,15.72125
2009,112219.345607,9.50525,21.085,-1.7560000000000002,15.827166666666663
2010,117872.644416,9.703083333333334,20.97,-1.6770000000000005,15.895499999999998
2011,121158.730125,9.516,21.32,-2.0340000000000003,15.7695
2012,123016.391168,9.507333333333332,21.006,-2.233,15.802333333333335
2013,123296.895686,9.6065,20.737,-1.7260000000000002,15.854416666666667
2014,123731.266468,9.570666666666666,20.79,-2.08,15.912999999999998
2015,123813.292947,9.831,20.904,-1.5180000000000002,16.058583333333335
